Sample,Original Voltage,Filtered Voltage
0,1.12,1.1181865363054502
1,3.41,1.2433984944787335
2,0.68,1.338995173708047
3,1.62,1.4765145345180508
4,1.28,1.7832845620635114
5,1.76,2.275400298574826
6,2.69,2.7515554935849043
7,3.25,2.891244649995784
8,4.03,2.5041864022514457
9,0.77,1.7178645158594814
10,0.33,0.9291601141997051
11,0.18,0.5519462931821392
12,0.66,0.7651499236269529
13,3.58,1.4426676106824141
14,1.15,2.273362781105812
15,1.42,2.94396778614203
16,4.92,3.2672167045300253
17,3.48,3.22271066385467
18,1.58,2.9282464255289096
19,4.26,2.5657187076276275
20,0.08,2.296004603558347
21,3.16,2.2070932815525715
22,4.2,2.3118185274436245
23,0.33,2.564356589096565
24,3.39,2.8632068695785917
25,2.55,3.0608615960847567
26,3.35,3.025465450130158
27,4.46,2.7396695963485382
28,0.21,2.344199747501012
29,3.53,2.0542654552262256
30,0.24,1.9986688953551324
31,2.25,2.123272820365139
32,3.77,2.2489286801448434
33,3.01,2.222679141065814
34,0.21,2.0144786765094853
35,0.21,1.6891124980469532
36,3.95,1.3280524381010799
37,0.51,1.007477429774983
38,0.81,0.8293860240148655
39,0.54,0.9132776201288282
40,1.48,1.3074751882649502
41,1.36,1.8987547455647533
42,2.34,2.4339674094426536
43,3.48,2.671319954522783
44,3.46,2.5463779713414145
45,1.1,2.204156482474996
46,0.65,1.8626781364607092
47,2.93,1.6344652766645282
48,1.06,1.4745929243159772
49,1.95,1.2960969475693762
50,0.88,1.1258521012207245
51,1.63,1.135336081929685
52,0.51,1.503159925465503
53,1.71,2.2296358681499626
54,4.26,3.0775874798399347
55,3.06,3.7071625778714465
56,4.79,3.8984179948441913
57,4.59,3.6741256108063194
58,0.02,3.2272377871579088
59,4.13,2.7381377254963284
60,3.06,2.2587993530012143
61,1.61,1.754882870795736
62,1.03,1.232492688790487
63,0.21,0.8076967988982177
64,1.67,0.6525880487591136
65,0.49,0.8690719193227875
66,0.09,1.393447604055167
67,4.12,2.003796378550436
68,1.23,2.4286418478257925
69,2.81,2.4900141039011188
70,1.91,2.1972208349523252
71,1.86,1.7426529351630318
72,2.15,1.4032107149276158
73,0.71,1.3930137798227853
74,1.37,1.7430598290343229
75,1.82,2.287130496673618
76,4.07,2.7771632432089515
77,4.19,3.0499719855474323
78,0.51,3.11443881441041
79,3.57,3.0976247533907726
80,4.12,3.116800977427644
81,2.72,3.1936417859458572
82,3.91,3.2605797301064507
83,1.9,3.2263996298545448
84,3.18,3.0487771404446047
85,3.94,2.7767681293006987
86,3.13,2.530420112867301
87,0.99,2.407129343976569
88,1.03,2.3791239588611495
89,3.55,2.300556629018285
90,3.27,2.063081557658106
91,2.2,1.764756622635317
92,0.52,1.6941256516454235
93,0.12,2.0975913094415444
94,4.87,2.934185691500448
95,3.87,3.8576145235957866
96,4.94,4.4507112887325615
97,4.21,4.5035531185882745
98,3.92,4.109733039416508
99,2.94,3.543687944736522
100,2.47,3.06631464680334
101,4.88,2.818398072835298
102,2.71,2.82780787468252
103,1.65,3.043213530344122
104,3.56,3.332117355815695
105,3.37,3.4851629180485144
106,4.28,3.299767303627424
107,1.7,2.7261492386416317
108,2.98,1.9569814740350646
109,1.52,1.3525114531642253
110,0.31,1.2209307935555995
111,0.01,1.6099755510480689
112,4.38,2.280844365282262
113,4.26,2.891952406435424
114,0.72,3.236415020236863
115,4.34,3.336050425828636
116,3.3,3.338428679992024
117,2.7,3.3388753364949655
118,3.86,3.2915344563780846
119,3.25,3.073831267090591
120,1.6,2.6356461768617656
121,4.39,2.0995963090780587
122,0.07,1.718440469711671
123,1.14,1.7107765466023566
124,2.83,2.1030281362145526
125,2.2,2.709460172194271
126,4.79,3.2655580953487875
127,2.29,3.5965607194445584
128,4.93,3.6833121618741482
129,1.29,3.59873694327828
130,4.43,3.4111987378479
131,4.52,3.1590974843103146
132,1.45,2.896808363785363
133,4.25,2.722590254040388
134,0.44,2.7274879642413765
135,3.63,2.9078293430317466
136,4.49,3.133522552370086
137,3.09,3.209373546025005
138,0.82,2.986843170020742
139,3.38,2.4638209126914554
140,3.51,1.828530094033513
141,0.32,1.4057751871773179
142,1.74,1.4820655768743451
143,1.35,2.079696610837936
144,1.91,2.8553386432685985
145,4.49,3.266418541815538
146,4.09,2.943743508868362
147,1.45,1.9994768857825906
148,0.44,1.002167457663608
149,0.37,0.5977404143922024
150,1.31,1.0441396775203202
151,0.93,2.010579139615824
152,4.18,2.8033056100351876
153,2.46,2.866785087258036
154,3.5,2.2001157463518606
155,0.48,1.3745010668437254
156,0.97,1.1196296028376063
157,0.26,1.772812019058179
158,3.93,3.0061656414910636
159,4.51,4.049639629739008
160,4.87,4.248053216401204
161,4.06,3.528787872668564
162,0.86,2.429406771316076
163,2.24,1.682801127177487
164,0.33,1.6960259077327364
165,2.83,2.317763991822388
166,4.6,3.034715055240442
167,3.64,3.3918367642338745
168,2.32,3.284627370565945
169,1.33,2.9292580231009095
170,4.32,2.607098941091298
171,3.04,2.4326125647611043
172,0.34,2.3110607064149145
173,3.44,2.0700254512447085
174,2.0,1.6357939350272261
175,0.01,1.1263349012385346
176,1.37,0.8023587269726244
177,1.09,0.9072077364907624
178,1.57,1.494627611961208
179,1.04,2.3587951334406525
180,3.84,3.1306960790788247
181,3.97,3.500247966744845
182,4.6,3.41775718532812
183,1.32,3.116201947782395
184,2.55,2.924192097905751
185,3.83,3.013461926604126
186,3.94,3.2797866260021276
187,1.67,3.4418585170625495
188,4.7,3.272577309589548
189,3.22,2.7894437045730096
190,1.28,2.267963164212796
191,2.25,2.0649073092488908
192,2.03,2.3703066715347485
193,3.34,3.0595647225018765
194,4.13,3.747928009685549
195,3.57,4.012434695459266
196,3.6,3.644088173360318
197,3.21,2.782858294895402
198,1.98,1.8557575704535856
199,1.13,1.3420801889257996
200,1.14,1.4909363317092668
201,1.46,2.164834398288076
202,4.46,2.927035754763493
203,2.07,3.3349105401159966
204,4.48,3.244247219623353
205,2.91,2.898184688206425
206,3.04,2.717219716041556
207,0.19,2.9387072152352496
208,4.51,3.3986586656368707
209,4.77,3.6591601451983675
210,3.12,3.395504310283537
211,4.43,2.7100526495976553
212,0.18,2.081877395031009
213,0.22,1.9805572095544255
214,4.17,2.4785302992814224
215,3.21,3.197332624221433
216,4.84,3.6206143803011965
217,2.21,3.4935864831210854
218,3.38,2.984816987106079
219,2.11,2.5134493302511385
220,2.95,2.4132046084697265
221,0.92,2.7020248920999577
222,4.7,3.1137199402347226
223,4.0,3.333867316310057
224,3.53,3.2301773139572596
225,0.23,2.8968638941837743
226,4.6,2.515696204243195
227,0.67,2.1968816789588237
228,3.63,1.9464803693099129
229,1.19,1.751164438609047
230,1.96,1.6528672960817992
231,0.91,1.7188766542529037
232,2.03,1.9421785034033159
233,2.13,2.1898791002961
234,3.33,2.27392424110725
235,0.48,2.097675417939502
236,3.65,1.7516619736998635
237,0.79,1.4641304229144299
238,0.87,1.43095905426954
239,0.26,1.6596265466019928
240,4.71,1.9637136478933905
241,0.85,2.1177061671777757
242,3.33,2.0350351593585136
243,0.04,1.815901495633636
244,1.37,1.6446678179364276
245,2.84,1.6513750842789248
246,2.1,1.8492876645822112
247,2.43,2.1547623632433943
248,0.01,2.4311952606628244
249,4.49,2.5318362319609147
250,2.48,2.3601730755170833
251,1.42,1.9415923347606587
252,1.51,1.4502490812191529
253,0.65,1.1443369253114142
254,2.52,1.2282488380696686
255,1.44,1.7166156511685573
256,0.21,2.3885080026349663
257,4.42,2.8871435998965302
258,4.46,2.9355580685106224
259,0.63,2.5356374380525137
260,2.91,1.9948608397867877
261,0.66,1.737588419299088
262,3.56,2.0205458145507524
263,0.94,2.744547987151656
264,4.62,3.4897955056927543
265,3.22,3.7612660080131888
266,3.98,3.300419952865096
267,2.46,2.268296394318314
268,0.66,1.1717100830342295
269,0.29,0.564540607143733
